"[2026-04-24 10:38:55] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:38:57] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:38:59] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:39:01] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:39:03] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:39:05] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:39:07] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:39:09] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:39:11] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:39:13] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
"[2026-04-24 10:39:15] ID=AI-FACTORY-001 |     TEMP:87.5 |   HUMI:41.1 |    STAT:RUNNING"
